MASE_train,MASE_validation,SIGN_train,SIGN_validation,delay,dimension
0.46534776274154493,6.09126939942805,0.7871877015468223,0.5097068899885802,1,2
0.37768071018272414,6.147137497902951,0.665868742788517,0.6388809591778476,1,3
0.36774508299272307,6.225646237991892,0.7227673976621206,0.5834919426468722,1,4
0.3810180520019011,6.332470463641118,0.6244455341986148,0.4701497271919807,1,5
0.40288509259268457,6.43141226779928,0.6584242693397623,0.5256947087933003,1,6
0.4245533298390956,6.512482408150102,0.580363859563403,0.4380888931188731,1,7
0.4448361432496213,6.589089136035191,0.6136201366710213,0.4816471558643444,1,8
0.465302045698666,6.667854788892741,0.5531070234259233,0.4167380476507725,1,9
0.48370734629901097,6.739350585357376,0.5806816619608092,0.45328511151295964,1,10
0.7519519845170217,6.572390452399051,0.6980603729932621,0.5646808780611597,2,2
0.7200741192518499,6.697265752454405,0.7183897392431712,0.5941504885166856,2,3
0.7128727843300761,6.8026720765379025,0.7188820118241805,0.5918593953237524,2,4
0.7148403611288864,6.918831806198841,0.6896747716652136,0.5849750959677675,2,5
0.7183042641415477,7.034681177270251,0.7014028129735616,0.5782410051399202,2,6
0.7183464501874212,7.131521003695428,0.6680344554028487,0.5708801319880704,2,7
0.716825511561659,7.2207864353961755,0.6869921079553357,0.5675709979374901,2,8
0.7111028306922359,7.304886192734441,0.6517840143050587,0.5624305886085991,2,9
0.7050174392004577,7.405084420542959,0.6841592666624455,0.5607070322416857,2,10
0.8113993748940471,6.798418676506994,0.6686791273003557,0.5331176246669205,4,2
0.7978934223011791,7.008660401615767,0.6792485475343909,0.5636877002633166,4,3
0.7884716011655902,7.206638198366842,0.6790221204626529,0.5507646424265499,4,4
0.7778702102345895,7.3952700335895285,0.6628839483137979,0.5615738537204507,4,5
0.7644419512634801,7.581029340701758,0.6838265044157318,0.547918253363798,4,6
0.7450929763764275,7.696036281184694,0.6555100546297514,0.5512075914817989,4,7
0.7258125443762234,7.917040890762496,0.695144411690421,0.5426902812162763,4,8
0.70539790351024,8.131970632502979,0.6607292874802817,0.5455036028314764,4,9
0.6874970545022481,8.344996236248631,0.704916503885561,0.531079365079365,4,10
0.8450648774616587,6.873719319110872,0.651891797372178,0.5171790235081374,7,2
0.8266984156212689,7.206043386647903,0.6661644156677181,0.5488814850071394,7,3
0.8071276922963552,7.503334713952198,0.6774773631209273,0.5324003554201574,7,4
0.7855207309869198,7.893446773185501,0.6554083909966028,0.5423411413698978,7,5
0.762644706729623,8.259806012209138,0.6841900375084036,0.5327936507936508,7,6
0.7402928229751112,8.618703164684058,0.659052499070952,0.5394360830634407,7,7
0.7183952241544507,9.068405007106868,0.7090385612820594,0.5362484519386491,7,8
0.7022476477875169,9.519137827820998,0.6741864658944463,0.544005081784977,7,9
0.688787858179075,9.848765011468025,0.7162194055367758,0.5362940372947045,7,10
0.8477772764858532,7.077095736642189,0.6404222300846646,0.5069166825306174,12,2
0.8346696421025852,7.513062975704067,0.6527860348003759,0.5294042971849313,12,3
0.8073511280302922,8.138468468154239,0.6702148584025626,0.5201587301587302,12,4
0.7767415842099751,8.970698025145166,0.651645461786004,0.534343145660665,12,5
0.7514315179497629,9.685240516219137,0.693181109724479,0.5258242805412617,12,6
0.7289978348756803,10.346496464985306,0.6568157591878437,0.5341086010230992,12,7
0.7127786743313022,10.84248442957167,0.7094572687021868,0.5249173658784643,12,8
0.7024878223662204,11.25415555280123,0.6677616610221843,0.5310443490701001,12,9
0.6950610242352472,11.590525662800205,0.7131599270058491,0.5238186096800865,12,10
0.8536799507056502,7.265950364711247,0.6471978928662097,0.5032685960903782,21,2
0.8336388583258417,8.211606121413043,0.6467776549390284,0.5303549882517306,21,3
0.7944885448303385,9.242811553793587,0.6755832385292185,0.5232059468216906,21,4
0.7602747411962457,10.169018249578123,0.6511295669587899,0.5366768370200865,21,5
0.7328411902550857,10.949054320464375,0.7066255418826248,0.5224331457280041,21,6
0.7131848242665594,11.754768587441601,0.6624997318666807,0.5249594349527537,21,7
0.7009556196418364,12.517869058074156,0.7200533061041318,0.5213267125031831,21,8
