MASE_train,MASE_validation,SIGN_train,SIGN_validation,delay,dimension
0.4661948138770458,8.301826165955607,0.7818715922099567,0.6598719637615845,1,2
0.3841814583949448,8.227109853126384,0.6642543445058644,0.5247636876285563,1,3
0.3783499250660209,8.2374548993094,0.7125347631483665,0.603642330536874,1,4
0.3922894953717693,8.27752870651955,0.6152168346413048,0.4853926870984145,1,5
0.4125605125683589,8.336465344971709,0.6537917101318101,0.5486294087736329,1,6
0.4342860287435493,8.370107145282578,0.5815214187839814,0.45786529838672396,1,7
0.4551246778732754,8.453061921258188,0.6146242623152899,0.5093144732584477,1,8
0.4739870405934959,8.515340686608907,0.5545837421388077,0.43630816170861936,1,9
0.49030799439687817,8.579631856333316,0.5841526329562594,0.4795552781822805,1,10
0.7526747275381903,8.594357637807699,0.6949677574841414,0.5711941574799511,2,2
0.7222587404990252,8.603582171718765,0.6926695483393442,0.5936994406693478,2,3
0.7170675221891986,8.639062653568404,0.7099962550434208,0.6049091665511025,2,4
0.7169004730347996,8.777828667630315,0.667807350217613,0.5917989968333218,2,5
0.7184659421020761,8.880122264057055,0.6927643892420147,0.5962600836742712,2,6
0.7178071978025233,8.96132143644258,0.6487967148270407,0.5775774387424873,2,7
0.7149779508939712,9.028940729276506,0.687596061500097,0.5837725381414701,2,8
0.7082336088252105,9.090383742210491,0.6385015102161223,0.5708440252444692,2,9
0.6991287234863538,9.126867186126548,0.6832939330223134,0.5748896132417874,2,10
0.8162075008215223,8.75913401817827,0.666620608685784,0.5336291776452642,4,2
0.7978807382717813,8.928031256365903,0.6652959043019846,0.5656103367773847,4,3
0.7882041260215601,9.078054627871731,0.6771175703873477,0.5622746185852981,4,4
0.7759103950747709,9.199277695205225,0.6483793089038321,0.5632383198095106,4,5
0.7618897545234488,9.235607080954543,0.68384576050945,0.5626994035233736,4,6
0.743411815185255,9.353257418754719,0.6453829144280622,0.5593165475942753,4,7
0.7244172503836305,9.474213329009443,0.6970260436592306,0.5557713651498335,4,8
0.7021357401963804,9.555684593233655,0.6492640857440249,0.5594866458550122,4,9
0.6838973039358652,9.637410945521614,0.7033004162702884,0.5553859673465612,4,10
0.8368627456136363,9.135129304183723,0.6511425445692538,0.5176119816946332,7,2
0.8210151531572493,9.155848711841601,0.6470600877741753,0.543666204345816,7,3
0.8020508973424136,9.26078511784481,0.6652654536932533,0.5385629074767652,7,4
0.7774788074093045,9.505158344539806,0.6385302480549576,0.5475860155382908,7,5
0.7507416301011064,9.69837182533927,0.6882221451420202,0.5421898485374032,7,6
0.7281352919134195,9.823780534862763,0.6530978900979713,0.5459654478595712,7,7
0.7088473725679361,10.034149170513155,0.7061983739327738,0.5358406772604261,7,8
0.6910063714924145,10.163286295276535,0.6607259451412908,0.5416059407314872,7,9
0.6769864271413485,10.363011827189418,0.7142559689061633,0.5318341662039607,7,10
0.8514446552946314,8.909291086842293,0.6417468965031686,0.5056865464632455,12,2
0.8257136609530719,9.272848832542794,0.6352112681276888,0.5359876072229544,12,3
0.7930117042293342,9.55755470433378,0.6716571776066691,0.5313584015540447,12,4
0.7626638549410106,9.913857740270586,0.6423558327677265,0.5418314713297713,12,5
0.7356806667980166,10.23442966720461,0.6951270620229857,0.5319267073847862,12,6
0.7146514738541808,10.516909650472547,0.6530467243934114,0.5375216938562999,12,7
